"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1148","Mazzè","11.44","15.52","11.25","13.93","Torino","TO","Piemonte","45.299076","7.937563"
"1149","Meana di Susa","13.14","16.76","17.08","22.13","Torino","TO","Piemonte","45.120730","7.066846"
"1150","Mercenasco","6.39","9.59","12.57","17.46","Torino","TO","Piemonte","45.356010","7.882178"
"1151","Meugliano","11.76","24.24","49.38","25","Torino","TO","Piemonte","45.489392","7.777768"
"1152","Mezzenile","17.29","17.65","10.16","18.77","Torino","TO","Piemonte","45.294163","7.393371"
"1153","Mombello di Torino","9.64","9.63","14.65","9.88","Torino","TO","Piemonte","45.047044","7.920701"
"1154","Mompantero","15.09","15.24","6.1","24.65","Torino","TO","Piemonte","45.144423","7.071911"
"1155","Monastero di Lanzo","22.07","39.38","11.46","22.79","Torino","TO","Piemonte","45.301686","7.439954"
"1156","Moncalieri","9.49","10.35","10","11","Torino","TO","Piemonte","44.998353","7.680288"
"1157","Moncenisio","0","0","30.3","33.9","Torino","TO","Piemonte","45.203797","6.984531"
"1158","Montaldo Torinese","2.66","13.46","6.71","6.68","Torino","TO","Piemonte","45.064172","7.848972"
"1159","Montalenghe","13.69","9.95","12.1","11.12","Torino","TO","Piemonte","45.337968","7.839844"
"1160","Montalto Dora","8.15","12","9.01","8.11","Torino","TO","Piemonte","45.489464","7.862252"
"1161","Montanaro","14.38","13.61","14.71","15.55","Torino","TO","Piemonte","45.229371","7.856990"
"1162","Monteu da Po","18.81","19.09","13.42","11.05","Torino","TO","Piemonte","45.150315","8.015081"
"1163","Moriondo Torinese","9.81","9.77","8.38","11.92","Torino","TO","Piemonte","45.039099","7.943707"
"1164","Nichelino","7.97","7.76","8.88","8.9","Torino","TO","Piemonte","45.002129","7.655573"
"1165","Noasca","51.45","69.69","29.96","56","Torino","TO","Piemonte","45.452022","7.317905"
"1166","Nole","10.08","10.83","10.33","9.74","Torino","TO","Piemonte","45.243383","7.574209"
"1167","Nomaglio","13.4","17.15","21.13","17.79","Torino","TO","Piemonte","45.535587","7.859704"
"1168","None","7.95","8.84","8.99","8.74","Torino","TO","Piemonte","44.933493","7.540749"
"1169","Novalesa","20.22","26.19","16.92","16.79","Torino","TO","Piemonte","45.189118","7.015282"
"1170","Oglianico","6.68","13.26","7.29","11.26","Torino","TO","Piemonte","45.342854","7.691929"
"1171","Orbassano","8.77","10.98","8.22","8.32","Torino","TO","Piemonte","45.005727","7.535363"
"1172","Orio Canavese","12.27","18.68","18.87","17.85","Torino","TO","Piemonte","45.327891","7.859590"
"1173","Osasco","6.15","11.41","14.12","11.41","Torino","TO","Piemonte","44.849044","7.343203"
"1174","Osasio","5.35","7.47","11.8","7.55","Torino","TO","Piemonte","44.868659","7.605574"
"1175","Oulx","7.85","6.36","8.43","9.56","Torino","TO","Piemonte","45.033339","6.833631"
"1176","Ozegna","13.77","10.59","13.14","10.7","Torino","TO","Piemonte","45.346571","7.748079"
"1177","Palazzo Canavese","7.18","8.39","13.1","14.24","Torino","TO","Piemonte","45.457875","7.975998"
"1178","Pancalieri","17.89","14.85","15.68","15.09","Torino","TO","Piemonte","44.832846","7.589996"
